epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2315.4,1.3881,1.44432,1.41958,0.67693,0.34921,0.41212,0.13017,2.56889,2.65185,2.48305,0.000703961,0.000703961,0.000703961
43,2368.83,1.33414,1.42613,1.36627,0.45429,0.5119,0.41084,0.17274,2.5041,2.53225,2.47408,0.000686277,0.000686277,0.000686277
44,2422.28,1.26162,1.3052,1.31078,0.65008,0.35817,0.42754,0.1799,2.51738,2.45688,2.48309,0.000668593,0.000668593,0.000668593
45,2476.13,1.2949,1.36579,1.35486,0.82118,0.54344,0.60431,0.20439,2.57366,2.33822,2.48656,0.000650909,0.000650909,0.000650909
46,2529.89,1.3122,1.27523,1.30586,0.44553,0.48451,0.4927,0.19112,2.52374,2.45721,2.43149,0.000633226,0.000633226,0.000633226
47,2583.83,1.32489,1.35745,1.38471,0.73371,0.36467,0.54022,0.20589,2.46156,2.35298,2.33541,0.000615542,0.000615542,0.000615542
48,2638.13,1.25546,1.27787,1.27935,0.74628,0.34921,0.46092,0.17687,2.50604,2.35939,2.39178,0.000597858,0.000597858,0.000597858
49,2691.68,1.22734,1.17905,1.26158,0.6587,0.31746,0.42974,0.17869,2.47251,2.40738,2.4141,0.000580174,0.000580174,0.000580174
50,2745.02,1.16815,1.167,1.24204,0.48022,0.5873,0.50694,0.1987,2.39995,2.26722,2.37624,0.00056249,0.00056249,0.00056249
51,2798.45,1.21052,1.16788,1.2994,0.6213,0.60317,0.59426,0.2125,2.51697,2.13572,2.50312,0.000544806,0.000544806,0.000544806
52,2851.29,1.30257,1.26426,1.32836,0.69226,0.42829,0.48622,0.19957,2.51358,2.34041,2.48764,0.000527122,0.000527122,0.000527122
53,2904.61,1.20488,1.19379,1.2936,0.43163,0.51607,0.46558,0.19737,2.43976,2.35315,2.50115,0.000509438,0.000509438,0.000509438
54,2958.07,1.17605,1.15313,1.23519,0.44477,0.5,0.44546,0.19618,2.42237,2.23717,2.48553,0.000491755,0.000491755,0.000491755
55,3011.09,1.06065,1.17503,1.19573,0.74422,0.35442,0.40349,0.17452,2.54247,2.23312,2.55317,0.000474071,0.000474071,0.000474071
56,3064.27,1.12214,1.0471,1.19014,0.41488,0.488,0.46595,0.17578,2.55234,2.215,2.5469,0.000456387,0.000456387,0.000456387
57,3117.4,1.06957,1.07901,1.1657,0.50084,0.54741,0.52806,0.1934,2.60098,2.22566,2.62415,0.000438703,0.000438703,0.000438703
58,3170.44,1.12325,1.11641,1.22809,0.68385,0.61727,0.61248,0.20169,2.63576,2.1407,2.6628,0.000421019,0.000421019,0.000421019
59,3223.87,1.13013,1.0968,1.23163,0.68024,0.55632,0.56671,0.20474,2.62072,2.18832,2.6748,0.000403335,0.000403335,0.000403335
60,3277.27,1.08002,1.18379,1.20108,0.66619,0.56612,0.58845,0.21949,2.57115,2.19451,2.61726,0.000385651,0.000385651,0.000385651
61,3330.22,1.02046,1.08506,1.1377,0.58053,0.50241,0.5107,0.19773,2.49741,2.37811,2.55373,0.000367967,0.000367967,0.000367967
62,3383.35,1.019,1.09457,1.14181,0.5422,0.40476,0.47508,0.17372,2.54535,2.33619,2.60778,0.000350284,0.000350284,0.000350284
